COUNTRY,YEARS_OF_EXPERIENCE,URL,COMPANY,JOB_TITTLE,BASE_PAY,ADDITIONAL_PAY_AVERAGE,ADDITIONAL_PAY_RANGE,CONFIDENCE,SALARIES_SUBMITTED,UPDATED
United States,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=LESS_THAN_ONE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$32K
-
US$41K/yr",US$36K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ONE_TO_THREE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$32K
-
US$42K/yr",US$37K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=FOUR_TO_SIX&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$33K
-
US$44K/yr",US$38K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=SEVEN_TO_NINE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$33K
-
US$45K/yr",US$39K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$33K
-
US$47K/yr",US$40K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Receptionist-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ABOVE_FIFTEEN&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Receptionist,"US$33K
-
US$43K/yr",US$38K/yr average,,Confident,2 Salaries submitted,Last updated 10 Apr 2025
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£26K/yr",£24K/yr average,£265 - £2K,Very High Confidence,15 Salaries submitted,Last updated 22 May 2025
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£22K
-
£27K/yr",£25K/yr average,£20 - £2K,Low Confidence,3 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ONE_TO_THREE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£27K/yr",£24K/yr average,£2K - £2K,High Confidence,6 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£20K
-
£25K/yr",£24K/yr average,£1K - £1K,High Confidence,6 Salaries submitted,Last updated 22 May 2025
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 16 Feb 2023
United Kingdom,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ABOVE_FIFTEEN&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 23 Apr 2024
United States,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$58K/yr",US$44K/yr average,US$17K - US$32K,Confident,5 Salaries submitted,Last updated 10 Apr 2025
United States,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=LESS_THAN_ONE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$29K
-
US$48K/yr",US$37K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ONE_TO_THREE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$31K
-
US$52K/yr",US$40K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=FOUR_TO_SIX&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$32K
-
US$58K/yr",US$43K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=SEVEN_TO_NINE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$59K/yr",US$44K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$59K/yr",US$44K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ABOVE_FIFTEEN&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$58K/yr",US$44K/yr average,US$17K - US$32K,Confident,5 Salaries submitted,Last updated 10 Apr 2025
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£24K
-
£29K/yr",£26K/yr average,£200 - £4K,High Confidence,4 Salaries submitted,Last updated 25 Apr 2025
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£20K
-
£29K/yr",£25K/yr average,,Low Confidence,2 Salaries submitted,Last updated 13 Jul 2023
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ONE_TO_THREE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£23K
-
£27K/yr",£25K/yr average,£200 - £4K,Low Confidence,3 Salaries submitted,Last updated 25 Apr 2025
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 11 Jul 2024
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ABOVE_FIFTEEN&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£24K
-
£29K/yr",£26K/yr average,£200 - £4K,High Confidence,4 Salaries submitted,Last updated 25 Apr 2025
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£20K
-
£29K/yr",£25K/yr average,,Low Confidence,2 Salaries submitted,Last updated 13 Jul 2023
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ONE_TO_THREE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£23K
-
£27K/yr",£25K/yr average,£200 - £4K,Low Confidence,3 Salaries submitted,Last updated 25 Apr 2025
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 11 Jul 2024
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Floor-Server-Salaries-E1501415_D_KO18,30.htm?experienceLevel=ABOVE_FIFTEEN&location=N,2",Flight Club Darts,Flight Club Darts Floor Server Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£26K/yr",£24K/yr average,£265 - £2K,Very High Confidence,15 Salaries submitted,Last updated 22 May 2025
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£22K
-
£27K/yr",£25K/yr average,£20 - £2K,Low Confidence,3 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ONE_TO_THREE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£27K/yr",£24K/yr average,£2K - £2K,High Confidence,6 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£20K
-
£25K/yr",£24K/yr average,£1K - £1K,High Confidence,6 Salaries submitted,Last updated 22 May 2025
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 16 Feb 2023
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£26K/yr",£24K/yr average,£265 - £2K,Very High Confidence,15 Salaries submitted,Last updated 22 May 2025
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£22K
-
£27K/yr",£25K/yr average,£20 - £2K,Low Confidence,3 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ONE_TO_THREE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£23K
-
£27K/yr",£24K/yr average,£2K - £2K,High Confidence,6 Salaries submitted,Last updated 6 Nov 2024
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£20K
-
£25K/yr",£24K/yr average,£1K - £1K,High Confidence,6 Salaries submitted,Last updated 22 May 2025
United Kingdom,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=SEVEN_TO_NINE&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 16 Feb 2023
United Kingdom,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,15+ Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ABOVE_FIFTEEN&location=N,2",Flight Club Darts,Flight Club Darts Bartender Salaries,"£0
-
£0/yr",£0/yr average,,Low Confidence,1 Salaries submitted,Last updated 23 Apr 2024
United States,All years of experience,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$58K/yr",US$44K/yr average,US$17K - US$32K,Confident,5 Salaries submitted,Last updated 10 Apr 2025
United States,0-1 Year,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=LESS_THAN_ONE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$29K
-
US$48K/yr",US$37K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,1-3 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=ONE_TO_THREE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$31K
-
US$52K/yr",US$40K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,4-6 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=FOUR_TO_SIX&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$32K
-
US$58K/yr",US$43K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,7-9 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=SEVEN_TO_NINE&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$59K/yr",US$44K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United States,10-14 Years,"https://www.glassdoor.co.uk/Salary/Flight-Club-Darts-Bartender-Salaries-E1501415_D_KO18,27.htm?experienceLevel=TEN_TO_FOURTEEN&location=N,1",Flight Club Darts,Total salary range for Flight Club Darts Bartender,"US$33K
-
US$59K/yr",US$44K/yr average,,Confident,1 Salaries submitted,Last updated 10 Apr 2025
United Kingdom,All years of experience,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=ALL_YEARS_OF_EXPERIENCE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£55K
-
£105K/yr",£75K/yr average,£500 - £500,High Confidence,5 Salaries submitted,Last updated 7 Apr 2022
United Kingdom,0-1 Year,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=LESS_THAN_ONE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£75K
-
£110K/yr",£93K/yr average,,Low Confidence,2 Salaries submitted,Last updated 7 Apr 2022
United Kingdom,1-3 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=ONE_TO_THREE&location=N,2",Crossrail,Crossrail Project Manager Salaries,"Please try a new search
We were unable to confidently predict a Total Pay estimate for this role based on limited pay data for similar job titles, employers, locations, and/or years of experience.",,,,,
United Kingdom,4-6 Years,"https://www.glassdoor.co.uk/Salary/Crossrail-Project-Manager-Salaries-E767043_D_KO10,25.htm?experienceLevel=FOUR_TO_SIX&location=N,2",Crossrail,Crossrail Project Manager Salaries,"£50K
-
£60K/yr",£55K/yr average,,Low Confidence,2 Salaries submitted,Last updated 31 Mar 2022
